COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Romex & Armored Connectors,899865,,,899865
Lighting,898795,Lamps,898804,LED Lamps,898877,LED A-Line Lamps,898891,898891
"Wire Terminations, Connections & Grounding",899720,Splices & Kits,899816,,,,,899816
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,Metallic Boxes,899756,899756
Lighting,898795,Lighting Controls,898803,Lighting Control Timers,898873,,,898873
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Caulking & Sealing,899902,,,899902
Electrical Distribution,899719,Metering,899740,Group Metering,900019,Meter Mains,900022,900022
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Category Cable Connectors,899936,,,899936
"Wire Terminations, Connections & Grounding",899720,Wire Terminals,899819,Fork Terminals,899832,,,899832
Lighting,898795,Lamps,898804,LED Lamps,898877,LED Decorative & Vintage Edison Lamps,898894,898894
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Bare Copper Wire,899950,,,899950
Electrical Distribution,899719,Control & Automation,899736,Momentary Pushbuttons,899745,,,899745
Lighting,898795,Ballasts & LED Drivers,898805,HID Ballasts,898834,,,898834
Lighting,898795,Ballasts & LED Drivers,898805,Fluorescent Ballasts,898828,,,898828
"Fittings, Hardware & Cable Management",899717,"Terminal Blocks, Taps & Strips",899763,,,,,899763
Tools & Equipment,899709,Drilling & Hole-Making,899893,Cutting Blades,900034,,,900034
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,Power Receptacles,899978,,,899978
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Appliance Plates,899997,,,899997
Tools & Equipment,899709,Hand Tools,899895,Tape Measures,901036,,,901036
"Wire, Cords & Cables",899715,Flexible & Portable Cord,899723,SO/SOW/SOOW Portable Cord,899949,,,899949
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,"Condulets, Covers & Gaskets",899858,Condulets,899883,899883
